 u 86 - p 0.7333333333333333  ::    11.0  /  15  ::::  2056 2080 140 2533 2715 2751 1093 3237 3339 3612 1920
 u 87 - p 0.4666666666666667  ::    7.0  /  15  ::::  2516 2665 4850 5059 5156 1303 3499
 u 88 - p 0.06666666666666667  ::    1.0  /  15  ::::  6733
 u 89 - p 1.2666666666666666  ::    19.0  /  15  ::::  4128 2081 4148 4151 6240 156 615 4847 2852 3240 3289 1412 7667 3637 3707 3981 2423 4073 4078
 u 90 - p 1.3333333333333333  ::    20.0  /  15  ::::  119 6370 2688 6878 4988 4986 5000 7214 3177 5253 3249 3261 1326 1401 3703 1725 3951 3966 6039 4070
 u 91 - p 1.5333333333333334  ::    23.0  /  15  ::::  4106 4113 4208 4215 4214 4218 4221 4235 252 6722 622 632 6784 643 726 1011 3291 3452 1500 5663 5703 1629 7790
 u 92 - p 1.2  ::    18.0  /  15  ::::  33 69 195 349 2477 2757 2762 2893 2908 5027 3038 5170 5269 3238 3302 1364 1419 4077
 u 93 - p 0.7333333333333333  ::    11.0  /  15  ::::  17 142 6323 189 6479 6769 6915 3120 5281 7708 3914
 u 94 - p 0.7333333333333333  ::    11.0  /  15  ::::  142 287 4646 6772 3008 5245 5249 1359 7574 3637 5847
 u 95 - p 1.1333333333333333  ::    17.0  /  15  ::::  247 4701 666 5880 5044 7140 1168 5309 3319 5616 5629 1544 1602 1665 5628 5903 7959
 u 96 - p 1.4  ::    21.0  /  15  ::::  1 28 2093 4229 6405 294 4407 4464 2461 439 4748 776 828 7209 1130 7315 1403 1498 1617 7902 1813
 u 97 - p 1.0  ::    15.0  /  15  ::::  4602 6687 6696 616 624 667 668 6845 727 734 751 7686 7715 7790 3768
 u 98 - p 0.5333333333333333  ::    8.0  /  15  ::::  4282 189 4285 2360 3174 1359 3428 7876
 u 99 - p 0.4666666666666667  ::    7.0  /  15  ::::  4403 2578 2601 2709 877 3216 3381
 u 100 - p 0.6666666666666666  ::    10.0  /  15  ::::  50 208 471 585 7548 7754 5913 5924 6035 6112
 u 101 - p 0.26666666666666666  ::    4.0  /  15  ::::  71 711 7545 3638
 u 102 - p 1.2  ::    18.0  /  15  ::::  2057 4148 4162 156 2423 443 4847 7135 1117 3241 1350 1412 5575 3718 1750 7940 1863 4021
 u 103 - p 0.5333333333333333  ::    8.0  /  15  ::::  22 2362 654 998 1013 1181 3495 3981
 u 104 - p 0.7333333333333333  ::    11.0  /  15  ::::  2306 2373 2379 4494 6617 704 2856 894 7329 7812 6066
 u 105 - p 0.7333333333333333  ::    11.0  /  15  ::::  4169 6292 6359 6472 365 7684 5677 1651 1817 1843 1886
 u 106 - p 1.5333333333333334  ::    23.0  /  15  ::::  2105 6286 147 154 2202 176 4288 4316 231 2326 281 301 308 2437 4566 505 6796 7011 3033 7562 1683 5829 5975
 u 107 - p 0.5333333333333333  ::    8.0  /  15  ::::  6202 6359 6441 6974 927 5589 5732 3839
 u 108 - p 0.0  ::    0.0  /  15  :::: 
 u 109 - p 0.4666666666666667  ::    7.0  /  15  ::::  6711 6201 7411 4389 4390 8068 5061
 u 110 - p 1.6  ::    24.0  /  15  ::::  6194 6277 4248 6501 6557 2652 2688 2711 2737 4808 6903 5058 5068 1112 5236 5285 5391 5512 5629 5635 5689 5809 5817 5950
